# Model #, volume (Rsun^3), max_temp (K),[Density: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96],[Massf: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96]
58519,2.07119890471e-05,148441226.439,4.75731193537e-21,368.636364826,18.3290563801,0.0390131802481,0.000357219078037,7.53727102705e-25,0.0147221832374,0.000674217135782,2.5163806237e-06,1.70564426781e-08
58520,2.07007149504e-05,148607944.83,4.77291219802e-21,368.470615517,18.3211609351,0.0390049698239,0.000357064238531,7.53643613552e-25,0.0147221774385,0.000674215596977,2.51638080328e-06,1.70563406776e-08
58521,2.06902600294e-05,148788716.766,4.78478167071e-21,368.307401828,18.3133910199,0.0389969235371,0.000356911913642,7.53392764207e-25,0.0147221717139,0.000674214141798,2.51638097248e-06,1.70562443502e-08
58522,2.06804111586e-05,148968816.064,4.8016895374e-21,368.146344416,18.3057259357,0.0389889622321,0.000356761647671,7.53391993441e-25,0.0147221655933,0.000674212619261,2.51638115058e-06,1.70561428754e-08
58523,2.06710447432e-05,149133619.038,4.82166406831e-21,367.989672385,18.2982804369,0.0389810335985,0.000356616180161,7.53497563657e-25,0.0147221621236,0.000674211802685,2.51638125543e-06,1.70560857094e-08
58524,2.06620668981e-05,149264010.726,4.83759445585e-21,367.840264757,18.2911782746,0.0389731823919,0.000356477421059,7.53448491075e-25,0.014722159482,0.000674211194151,2.51638134151e-06,1.70560396093e-08
58525,2.065376972e-05,149371276.795,4.85201282118e-21,367.700933809,18.2845467108,0.0389655644286,0.000356347592515,7.53388789324e-25,0.0147221572063,0.000674210634262,2.51638142633e-06,1.70559943085e-08
58526,2.06464446637e-05,149573945.531,4.86414799686e-21,367.565032675,18.2780832119,0.0389583187451,0.000356221123868,7.53240551026e-25,0.0147221558996,0.0006742102959,2.51638148466e-06,1.70559647799e-08
58527,2.06398927605e-05,149841699.328,4.87303022945e-21,367.428821301,18.2716126646,0.0389513206258,0.000356094670352,7.52960760199e-25,0.014722155111,0.000674210090679,2.51638152575e-06,1.70559454367e-08
58528,2.06338400857e-05,150126561.732,4.88105279398e-21,367.290971546,18.2650695229,0.0389444088289,0.000355966880282,7.52646210115e-25,0.0147221544692,0.000674209928748,2.51638156149e-06,1.70559293815e-08
58529,2.06281290784e-05,150415871.517,4.88944221085e-21,367.149904564,18.2583775765,0.0389374827502,0.000355836238716,7.52348904513e-25,0.0147221536797,0.000674209739614,2.51638160248e-06,1.70559105579e-08
58530,2.06226522677e-05,150689968.48,4.89828629194e-21,367.005364696,18.2515242373,0.0389304468055,0.000355702487562,7.52019790367e-25,0.014722153048,0.000674209591099,2.51638163585e-06,1.70558953103e-08
58531,2.06173553691e-05,150945816.406,4.90741219172e-21,366.857984429,18.2445383285,0.0389232786989,0.000355566211865,7.51705630326e-25,0.0147221523301,0.000674209433107,2.516381672e-06,1.70558789944e-08
58532,2.06122521082e-05,151185755.249,4.9174387779e-21,366.707667406,18.2374159062,0.0389159584716,0.000355427272695,7.51378041262e-25,0.0147221515687,0.000674209278115,2.5163817076e-06,1.70558629237e-08
58533,2.06073200385e-05,151400358.82,4.92774183659e-21,366.554014495,18.2301376823,0.0389084984532,0.000355285494725,7.51056144458e-25,0.0147221503319,0.000674209051325,2.5163817536e-06,1.70558409459e-08
58534,2.06026045482e-05,151588296.901,4.9414979999e-21,366.398118326,18.2227494473,0.0389009753323,0.000355141490505,7.50916057222e-25,0.01472214803,0.000674208663521,2.51638182108e-06,1.70558054509e-08
58535,2.05981779846e-05,151772032.335,4.95721146262e-21,366.242676143,18.2153809406,0.0388934919251,0.000354997428079,7.50869706765e-25,0.014722144951,0.00067420816753,2.51638190333e-06,1.70557605912e-08
58536,2.05941309426e-05,151957247.182,4.97011119643e-21,366.087665527,18.2080352206,0.0388860144919,0.000354853481128,7.50715934438e-25,0.0147221413234,0.000674207597701,2.51638199622e-06,1.70557086552e-08
58537,2.05903731162e-05,152102270.635,4.99094803489e-21,371.187737454,18.4415626168,0.038644210039,0.000359068141798,7.46778510678e-25,0.0148946672797,0.000682454727581,2.50046714591e-06,1.71784333916e-08
58538,2.05867727586e-05,152250008.584,4.99318508556e-21,370.990961886,18.432247156,0.0386364946016,0.000358887245004,7.46360002211e-25,0.0148946593109,0.00068245357751,2.50046730691e-06,1.71783399769e-08
58539,2.05835924033e-05,152413701.273,5.01385681147e-21,376.550867479,18.6873751659,0.038399636776,0.000363485772911,7.42520766937e-25,0.0150648086145,0.000690582518289,2.48476496072e-06,1.72986725779e-08
58540,2.05806462071e-05,152594352.427,5.03600698902e-21,376.366245316,18.6786621553,0.0383917772426,0.00036331642575,7.42695168847e-25,0.0150648083946,0.000690582514394,2.4847649863e-06,1.72986619826e-08
58541,2.05778940444e-05,152785288.716,5.05448565576e-21,376.183495954,18.6700398559,0.0383836488595,0.000363147885286,7.42771464461e-25,0.0150648068644,0.000690582339463,2.48476503859e-06,1.72986349727e-08
