# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53637,0.000297107306241,248499026.45,0.000272465869427,2.79583669503e-05,3.32406367534,3.86779827573e-05,8.77806920108e-05,2.67411576911e-19,6.34749138885e-08,6.52309737163e-09,0.000815908314081,8.84905446129e-09,2.03732009882e-08
53638,0.000302163905839,238226717.746,0.000274354574988,2.81521404603e-05,3.34363125014,3.89531685464e-05,8.83787792423e-05,2.59533125219e-19,6.34978476915e-08,6.52688329149e-09,0.00081596722781,8.85263634681e-09,2.0374075925e-08
53639,0.000307107818301,230895055.982,0.000269481533354,2.76569775774e-05,3.28351799941,3.82625603475e-05,8.67970249226e-05,2.57506183619e-19,6.35343991668e-08,6.53266146176e-09,0.000817388510524,8.85415559666e-09,2.03776363773e-08
53640,0.000312003872906,230748304.318,0.000268442281666,2.75528301895e-05,3.27037259959,3.81136279615e-05,8.6448559495e-05,2.54329005834e-19,6.35572299771e-08,6.53663159981e-09,0.000818209137608,8.85527022776e-09,2.03774396605e-08
53641,0.000316829822398,224468506.217,0.000266431058241,2.73493304426e-05,3.24411572188,3.78332018511e-05,8.57923501204e-05,2.50839252103e-19,6.35764495341e-08,6.54010660453e-09,0.00081879568597,8.85664476985e-09,2.03767296484e-08
53642,0.000321596365953,225500750.45,0.000264076307491,2.71118368618e-05,3.21495331092,3.74992576225e-05,8.50211556352e-05,2.52341156095e-19,6.36001302481e-08,6.54447873865e-09,0.000820270808976,8.85574616774e-09,2.03757031037e-08
53643,0.000326327328913,224128935.902,0.000266114159891,2.7320143214e-05,3.23646964327,3.77966197244e-05,8.56701286579e-05,2.48565442997e-19,6.36230064983e-08,6.54768404467e-09,0.00082028792217,8.85984203902e-09,2.03775406343e-08
53644,0.000331952888555,228022655.889,0.000260994104115,2.68003722289e-05,3.17636381621,3.7061300178e-05,8.40038004513e-05,2.50553379281e-19,6.36507288201e-08,6.55300497445e-09,0.000822005614818,8.85882018575e-09,2.03759527438e-08
53645,0.000337447390411,226391156.126,0.000261955292981,2.69052003429e-05,3.18626027003,3.72055803668e-05,8.43052257524e-05,2.47763342829e-19,6.3681282591e-08,6.55803430151e-09,0.000822712334696,8.86225891843e-09,2.03782605069e-08
53646,0.000342845697699,212603726.041,0.000262640661782,2.69754210327e-05,3.19133670579,3.73113286029e-05,8.45211212926e-05,2.39365377032e-19,6.37028009275e-08,6.56137511376e-09,0.000822834263484,8.86571252103e-09,2.03791088672e-08
53647,0.000348152074576,215208064.399,0.000263912157205,2.71071759722e-05,3.20458617542,3.74973400436e-05,8.49213891587e-05,2.38484581495e-19,6.37314558785e-08,6.56569376498e-09,0.000823574626651,8.86852494428e-09,2.03808881633e-08
53648,0.000353404649978,214551022.836,0.000263134059287,2.70279927791e-05,3.19419574174,3.7390188863e-05,8.46658118769e-05,2.34858091859e-19,6.37498288571e-08,6.56833145216e-09,0.00082374977085,8.87168499579e-09,2.03814314341e-08
53649,0.000358584666053,216964654.37,0.000260777481917,2.67898391083e-05,3.16588861948,3.70547383535e-05,8.38972749544e-05,2.36062655033e-19,6.37759929016e-08,6.57274533142e-09,0.000825256457462,8.87157293807e-09,2.03811155505e-08
53650,0.000363735517146,221785226.97,0.000257769032265,2.64859506979e-05,3.13127277985,3.66216222989e-05,8.29156189713e-05,2.38384011917e-19,6.3800452632e-08,6.57720176528e-09,0.00082712441552,8.86991731521e-09,2.03792207781e-08
53651,0.000369857947355,219667659.028,0.000256987598675,2.64084957989e-05,3.12164007534,3.6510645773e-05,8.26535827841e-05,2.355282553e-19,6.38294230445e-08,6.58177370417e-09,0.000828003392979,8.87255549381e-09,2.03802490282e-08
53652,0.000375839940085,205225352.395,0.000257384574595,2.64518533523e-05,3.12454261507,3.65728350749e-05,8.27758475696e-05,2.27120497696e-19,6.38524854535e-08,6.58554190685e-09,0.000828452790541,8.87541760921e-09,2.03805713904e-08
53653,0.000381695047168,205262512.28,0.000258321026274,2.65528049666e-05,3.13538171798,3.67106224386e-05,8.30724436949e-05,2.25421419891e-19,6.38794958259e-08,6.58962911677e-09,0.000829164679313,8.87867658714e-09,2.03826158722e-08
53654,0.00038746770559,194069083.629,0.000257324582023,2.64526851038e-05,3.12192935528,3.6574226224e-05,8.2749042158e-05,2.18385500209e-19,6.39002780363e-08,6.59280643124e-09,0.000829594846941,8.88139143888e-09,2.03831367843e-08
53655,0.000393159154399,196850283.169,0.000256262950152,2.63500918021e-05,3.11059206218,3.64213555946e-05,8.23970427955e-05,2.1897228858e-19,6.39279099707e-08,6.59745899527e-09,0.000831198614209,8.88169393526e-09,2.03827893997e-08
53656,0.000398797553142,197429323.934,0.000254571432062,2.61792461977e-05,3.09060780812,3.61807741099e-05,8.18458558059e-05,2.17196157766e-19,6.39499656897e-08,6.6007465131e-09,0.000832005958839,8.88363217036e-09,2.03830183382e-08
53657,0.000404382908213,211942361.034,0.000253641647881,2.60879047703e-05,3.07915407554,3.60534372373e-05,8.1542674631e-05,2.22882035724e-19,6.397599361e-08,6.60463173775e-09,0.000833165176208,8.88546723358e-09,2.03837438327e-08
