# model #, time_scale (hrs)
53442,0.500250774965
53443,2.55649984157
53444,0.630482079301
53445,0.62935880746
53446,1.90154871178
53447,1.94983124207
53448,1.47725620888
53449,1.51532999412
53450,1.51014165537
53451,0.344323373553
53452,0.345669189354
53453,0.346066453414
53454,0.348788502701
53455,0.348175471979
53456,0.352249021219
53457,0.351609193689
53458,0.354719237767
53459,0.384256882985
53460,0.358187144937
53461,0.642370604904
53462,0.437986167208
53463,0.386820590496
53464,0.350843150037
53465,0.245107212321
53466,0.246218581625
53467,0.415197806167
53468,0.312815560658
53469,0.486863250095
53470,0.490073332603
53471,0.163530397603
53472,0.379541883069
53473,0.321186357418
53474,1.01829195915
53475,1.10437478432
53476,0.202679069455
53477,0.130947881054
53478,0.243846337591
53479,0.243256286202
53480,0.242668007865
53481,0.242080785565
53482,0.243437530809
53483,0.242845403397
53484,0.242253049552
53485,0.24165954526
53486,0.241065208522
53487,0.410256945993
53488,0.409234739983
53489,0.400234268486
53490,0.457508093639
53491,0.0195450181532
53492,0.180917260208
53493,0.180466400234
53494,0.180012245072
53495,0.185999121809
53496,0.178966376544
53497,0.178511890131
53498,0.178052971433
53499,0.177590784996
53500,0.179021307138
53501,0.0978219530175
53502,0.0975635171705
53503,0.178891937862
53504,0.256937729762
53505,0.256121009263
53506,0.255298766524
53507,0.254482325226
53508,0.253671427015
53509,0.252864230909
53510,0.261348830162
53511,0.166769803326
53512,0.160642274135
53513,0.16012420126
53514,0.15960582796
53515,0.159704789923
53516,0.154130436457
53517,0.153631241001
53518,0.153130372113
53519,0.152627242166
53520,0.152121709486
53521,0.151613431951
53522,0.151101575853
53523,0.153716852582
53524,0.15318638209
53525,0.152652072756
53526,0.15211360422
53527,0.151570828928
53528,0.268290555828
53529,0.147806001406
53530,0.649753312233
53531,0.944858127877
53532,0.125213574922
53533,0.226778155381
53534,1.75582063595
53535,0.0641320221193
53536,0.0576015991381
53537,0.117104501487
53538,0.0570249430583
53539,0.0949511770578
53540,0.181973707338
53541,0.0750476238454
53542,0.0746557151924
53543,0.0742632959639
