# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53656,0.000398552309847,242983007.122,0.000152419877435,1.56408154413e-05,1.89651331427,2.14687474897e-05,4.88657178642e-05,2.68301281214e-19,6.39179418783e-08,6.60278353437e-09,0.000849537638568,8.81305562003e-09,2.03184610755e-08
53657,0.00040413427706,266820427.619,0.000141744739499,1.45494635385e-05,1.77260546249,1.99375382471e-05,4.54142149501e-05,2.82217616245e-19,6.39471532133e-08,6.60843487913e-09,0.000853443102843,8.80606535521e-09,2.03109516908e-08
53658,0.000410792348022,261693095.464,0.000134681448517,1.38295131278e-05,1.69175183093,1.89202546568e-05,4.31229454738e-05,2.80515094627e-19,6.39779272075e-08,6.61433377088e-09,0.000856512437215,8.80212104411e-09,2.03048606698e-08
53659,0.000417275718694,248332483.191,0.000130308736073,1.33839720844e-05,1.64099699052,1.82924145376e-05,4.17033876135e-05,2.7439136905e-19,6.40055698165e-08,6.6192676979e-09,0.000858745982845,8.80030277165e-09,2.03003057475e-08
53660,0.00042363158308,237213246.55,0.000124155175745,1.27561335368e-05,1.56916994248,1.74099363419e-05,3.97102036847e-05,2.70646843363e-19,6.40337810766e-08,6.62476226825e-09,0.000861872117471,8.79550510958e-09,2.02931271061e-08
53661,0.000429881191602,242311983.18,0.00011672402498,1.19976759257e-05,1.4836141787,1.63416879298e-05,3.73019433626e-05,2.75226957691e-19,6.4066273731e-08,6.63091535258e-09,0.000865805612044,8.78916869525e-09,2.02849496785e-08
53662,0.000436046696218,251867787.692,0.000114230927917,1.17434931538e-05,1.45595875778,1.5980850089e-05,3.64867866304e-05,2.7774024596e-19,6.40929616182e-08,6.63478626835e-09,0.00086771000958,8.78877245483e-09,2.02816117452e-08
53663,0.000442144708568,235411318.24,0.000109753176466,1.12864629803e-05,1.40259365728,1.53422104012e-05,3.50371448187e-05,2.70714187396e-19,6.41199179802e-08,6.63956526813e-09,0.000870227612484,8.78588775563e-09,2.02755457774e-08
53664,0.000448201331677,239702394.029,0.000107411240319,1.10457614314e-05,1.37456775608,1.5010387834e-05,3.42792320222e-05,2.71118542833e-19,6.41442037411e-08,6.64263777661e-09,0.000871699462649,8.78660499046e-09,2.02731464946e-08
53665,0.000455401904518,246164202.987,0.000103049998232,1.06015886967e-05,1.3263801427,1.43779573197e-05,3.28569667506e-05,2.73575090144e-19,6.4179351073e-08,6.64844507927e-09,0.000875062163203,8.78317462703e-09,2.02667716145e-08
53666,0.000462409020613,246937947.492,9.68934433414e-05,9.97634955861e-06,1.25697796986,1.3486884453e-05,3.08494613817e-05,2.75320123293e-19,6.42179014964e-08,6.65595383061e-09,0.000879504309455,8.77621540305e-09,2.0255900418e-08
53667,0.000469266409525,251209904.195,9.38919701484e-05,9.66921044684e-06,1.22160208056,1.30590280341e-05,2.98752063956e-05,2.76838511699e-19,6.42488625908e-08,6.66044260834e-09,0.000881828104086,8.77541011271e-09,2.02513566813e-08
